iter	Passed	Remaining
0	93	9289
1	94	4642
2	95	3087
3	96	2305
4	96	1840
5	97	1532
6	98	1310
7	99	1144
8	100	1014
9	101	909
10	101	824
11	102	752
12	103	692
13	104	641
14	105	596
15	106	556
16	106	521
17	107	490
18	108	462
19	109	437
20	110	414
21	111	393
22	112	375
23	112	357
24	113	340
25	114	325
26	115	311
27	115	298
28	116	285
29	117	274
30	118	263
31	119	253
32	119	243
33	120	234
34	121	225
35	122	217
36	123	209
37	123	202
38	124	195
39	125	188
40	126	181
41	127	175
42	128	169
43	129	164
44	129	158
45	130	153
46	131	148
47	132	143
48	132	138
49	133	133
50	134	129
51	135	124
52	136	120
53	137	116
54	137	112
55	138	109
56	139	105
57	140	101
58	141	98
59	142	94
60	142	91
61	143	88
62	144	84
63	145	81
64	146	78
65	147	75
66	148	72
67	148	70
68	149	67
69	150	64
70	151	61
71	152	59
72	153	56
73	154	54
74	154	51
75	155	49
76	156	46
77	157	44
78	157	41
79	158	39
80	159	37
81	160	35
82	161	33
83	162	30
84	163	28
85	163	26
86	164	24
87	165	22
88	166	20
89	167	18
90	167	16
91	168	14
92	170	12
93	171	10
94	172	9
95	173	7
96	174	5
97	174	3
98	175	1
99	176	0
